Order_Number,CustomerKey,ProductKey,StoreKey,DateKey,Total_Amount,Quantity
366000,265598,1304,10,251537,68.00,1
366001,1269051,1048,0,251537,854.00,2
366002,266019,373,0,251537,326.00,1
366004,1107461,163,38,251537,9553.20,6
366005,844003,421,33,251537,1876.00,4
366007,2035771,666,43,251537,815.00,5
366008,759705,1060,29,251537,3135.00,5
366009,254540,1648,9,251537,109.99,1
366010,370077,618,0,251537,1495.00,5
366011,1984985,128,66,251537,1003.80,7
366012,1977527,1297,65,251537,25.00,1
366013,1187306,1654,41,251537,1299.95,5
366014,738549,123,0,251537,279.99,1
366016,1982762,1253,63,251537,139.93,7
367000,1438050,1176,56,251564,1000.00,1
367003,980164,153,40,251564,939.94,2
367004,1853699,136,56,251564,349.95,1
367005,758280,319,0,251564,1738.00,2
367006,693285,2445,18,251564,14.97,3
367007,1730985,65,57,251564,1267.00,7
367008,763246,1951,28,251564,9599.97,3
367009,1512558,53,57,251564,1480.00,5
367010,1322959,39,66,251564,299.23,1
367011,507981,39,22,251564,299.23,1
367012,209990,145,9,251564,8699.97,3
367013,815458,41,31,251564,1392.00,6
367014,1839627,1184,56,251564,2670.00,3
367015,911025,2296,42,251564,1879.50,7
367016,1633409,206,63,251564,1707.00,3
367017,1612400,1203,47,251564,3920.00,4
367018,1301565,731,59,251564,516.00,4
367019,793573,371,29,251564,4193.00,7
367020,799366,448,29,251564,1619.40,6
367021,243917,1445,10,251564,1072.00,4
367022,942807,663,42,251564,744.00,3
367023,129318,1031,2,251564,330.00,2
367024,1713253,302,50,251564,7992.00,8
367025,1736623,1574,56,251564,179.97,3
367026,1836599,78,53,251564,40.55,1
367027,1482586,1645,53,251564,57.88,1
367028,607356,976,0,251564,188.00,1
367029,1260533,1223,66,251564,3220.00,7
367030,1843882,426,51,251564,499.90,1
367031,909014,120,0,251564,359.97,3
368000,892838,1440,32,251634,189.00,1
368001,1670789,1598,64,251634,173.64,3
369000,1143828,167,37,251636,69.00,1
369001,269337,1301,8,251636,95.00,1
369002,258316,1656,8,251636,159.99,1
369004,1389462,1961,65,251636,1399.95,5
369005,1866637,183,56,251636,327.00,3
369006,734605,654,28,251636,129.00,1
369007,571622,1578,20,251636,657.00,3
369011,1664824,1261,0,251636,73.98,2
369012,1696695,1423,0,251636,567.00,3
370000,2032025,457,51,251653,439.90,2
370001,1884908,1107,61,251653,1074.00,3
370003,2092033,836,66,251653,127.20,8
370004,1473090,1251,43,251653,119.98,2
370005,584095,1594,24,251653,39.96,4
370006,661636,1272,16,251653,41.70,6
370007,623659,126,15,251653,1003.80,7
370008,183264,2105,4,251653,1475.00,1
370010,1393738,1709,48,251653,210.39,3
370011,1522590,32,47,251653,510.00,2
370012,1780669,1585,53,251653,68.67,3
370013,5097,5,6,251653,43.14,2
370014,1475886,1622,51,251653,438.00,2
371000,728834,81,30,251678,81.10,2
371001,76021,77,2,251678,113.85,3
371002,1955971,80,53,251678,162.20,4
371003,778259,64,28,251678,181.00,1
371004,1378439,1305,0,251678,544.00,8
371005,1923558,32,48,251678,1785.00,7
371006,1501383,1279,0,251678,14.99,1
371007,1378439,1639,0,251678,9.99,1
371008,2053617,961,50,251678,165.00,1
371010,1716584,1631,53,251678,88.62,7
371011,776266,32,0,251678,1275.00,5
371012,363872,147,8,251678,2899.99,1
371014,1161615,89,40,251678,599.96,4
371015,1669745,1228,0,251678,1620.00,1
371016,879778,1704,32,251678,13.98,2
371017,1918687,2084,61,251678,474.95,5
371018,1041466,534,36,251678,139.00,1
371019,916074,1590,41,251678,22.89,1
372000,1413890,148,0,251726,8699.97,3
372001,1412534,1286,63,251726,77.99,1
372002,1718240,1299,47,251726,175.00,7
372003,527409,83,19,251726,199.98,2
372004,711449,922,30,251726,8.55,9
372005,302130,75,9,251726,151.80,4
372006,2095742,125,0,251726,286.80,2
372007,1982994,1148,61,251726,1688.00,4
372008,1214363,183,53,251726,109.00,1
372010,784075,90,29,251726,1049.93,7
372011,739625,1572,29,251726,57.99,1
372012,195521,171,6,251726,396.00,4
372013,1042966,1259,38,251726,79.98,2
372016,1170323,6,42,251726,64.71,3
373000,1367439,716,0,251756,627.00,3
373002,1750554,1859,48,251756,9094.50,5
373003,2082534,67,56,251756,77.07,3
373004,460587,1765,24,251756,1796.40,3
373005,1763365,342,65,251756,1198.00,2
373007,351747,103,0,251756,230.00,2
373008,536845,65,23,251756,362.00,2
373009,1064519,1589,0,251756,39.96,4
373010,538801,56,27,251756,592.00,2
373011,82415,440,4,251756,439.90,2
374000,1971983,81,48,251775,81.10,2
374001,2050933,545,47,251775,459.00,1
374002,320030,1667,8,251775,44.00,8
374003,1188400,1606,38,251775,159.99,1
374005,239647,1197,8,251775,864.00,2
374006,1387959,1622,65,251775,1314.00,6
374007,800548,1631,31,251775,37.98,3
374008,789641,1217,29,251775,2224.00,4
374009,728541,538,30,251775,297.00,3
374010,665776,961,12,251775,825.00,5
374011,174622,1256,5,251775,159.92,8
374012,1758208,1276,0,251775,52.13,1
374013,733080,533,29,251775,1395.00,5
374015,1451748,107,55,251775,930.93,7
374016,1535357,9,45,251775,299.95,5
374017,1558964,1630,63,251775,22.89,1
374018,1010049,1615,38,251775,1449.95,5
374019,193216,1109,6,251775,1308.60,3
375000,1084570,88,0,251813,1049.93,7
376000,1862500,69,43,251816,25.69,1
376001,813685,131,32,251816,200.00,1
376003,797322,425,30,251816,1107.00,3
376004,1905050,1635,45,251816,137.34,6
376005,305321,418,8,251816,539.90,2
377000,1589958,422,64,251828,1938.00,2
377002,1897822,858,50,251828,29.95,1
377003,1129200,1942,40,251828,1799.94,6
377004,1136143,460,42,251828,1199.60,4
377005,1022980,1634,37,251828,9.99,1
377006,934781,320,0,251828,699.00,1
377007,86126,446,6,251828,659.85,3
378000,1062632,170,37,251849,109.00,1
378001,1976355,1696,66,251849,33.98,2
378002,1599716,1304,45,251849,68.00,1
378003,774742,1609,29,251849,259.99,1
378004,368190,1646,8,251849,1119.93,7
378005,1470803,125,44,251849,573.60,4
378006,917347,1266,38,251849,349.72,7
378007,707089,424,30,251849,1079.80,4
378008,1035789,1619,39,251849,119.98,2
378009,270736,336,8,251849,2097.00,3
378010,437389,145,19,251849,8699.97,3
379000,1171088,443,39,251879,1396.00,4
379001,1165542,1038,40,251879,1495.20,8
379002,716015,106,0,251879,265.98,2
379004,245912,321,0,251879,658.00,2
379005,1104029,1453,37,251879,1032.00,4
379008,793968,76,30,251879,113.85,3
379009,1556602,375,61,251879,2796.00,4
379011,1291414,1280,48,251879,44.97,3
380000,1614172,1676,57,251901,26.97,3
380001,1530756,641,66,251901,753.00,3
380003,627789,172,17,251901,507.00,3
380004,1909649,272,66,251901,329.00,1
380005,770856,154,30,251901,3289.79,7
380006,549983,1969,27,251901,22399.93,7
381001,780974,2397,29,251913,1907.97,3
381002,2042097,1283,0,251913,24.99,1
381003,1631876,1619,61,251913,359.94,6
381004,1914255,143,53,251913,1199.96,4
381005,1803346,1946,50,251913,8990.00,10
381006,1364334,1029,64,251913,200.00,1
381007,1202659,97,48,251913,134.80,2
381008,982850,1707,42,251913,140.26,2
381009,1187611,2086,42,251913,3510.00,4
381010,1554137,1604,66,251913,259.99,1
381011,1302333,450,45,251913,919.00,1
381012,2072376,1684,0,251913,118.23,7
381013,1984685,584,0,251913,1520.00,8
383000,1768548,1623,51,251938,657.00,3
383001,1584109,994,61,251938,184.50,1
383002,1650783,75,57,251938,75.90,2
383003,568160,959,19,251938,600.00,3
383004,1670107,185,59,251938,507.00,3
384000,622740,78,17,251947,162.20,4
384001,780674,301,29,251947,638.00,2
384002,1263974,61,43,251947,362.00,2
384003,1369624,420,64,251947,1999.60,4
384004,1316297,1150,0,251947,822.00,2
384005,1022895,1597,37,251947,231.52,4
384006,247132,124,9,251947,2239.92,8
384007,14180,494,6,251947,837.00,3
385000,1110691,166,0,251964,357.00,3
385002,844832,53,31,251964,592.00,2
385003,624165,1928,18,251964,2697.00,3
385004,332332,2162,8,251964,149.00,1
385005,1251726,2120,57,251964,447.00,3
385006,724534,135,28,251964,1399.80,4
385007,1273837,1112,61,251964,5160.00,8
385008,667318,1195,16,251964,655.00,1
385009,1720050,6,61,251964,21.57,1
385010,483118,61,20,251964,1086.00,6
386000,748749,167,30,251980,69.00,1
386001,1912666,1577,0,251980,219.00,1
386002,1525000,581,43,251980,1377.00,3
386003,265825,1646,8,251980,159.99,1
386004,2085055,1222,45,251980,1293.00,3
386005,345812,237,0,251980,599.00,1
386006,348548,423,10,251980,599.00,1
386008,2093929,124,56,251980,1959.93,7
386009,522652,156,19,251980,1409.91,3
386010,1775819,125,57,251980,143.40,1
386011,541598,54,0,251980,1776.00,6
387000,224434,55,0,252011,1776.00,6
387001,2011796,39,51,252011,1496.15,5
387002,1368025,429,44,252011,1199.80,2
387003,368610,143,8,252011,2699.91,9
387004,1307296,709,53,252011,696.00,6
387005,938399,442,36,252011,269.90,1
